tas,pr,tos
14.6252,1090.96,18.6927
14.7768,1097.99,18.7003
14.4346,1092.86,18.5541
14.6416,1090.62,18.6709
14.6357,1091.63,18.7112
14.7585,1097.39,18.7622
14.6701,1092.12,18.6886
14.7211,1092.46,18.7181
14.7792,1096.25,18.7627
14.7239,1095.93,18.732
14.8736,1096.52,18.7847
14.9417,1099.82,18.8218
14.7763,1091.83,18.7821
14.7819,1092.33,18.8123
14.9224,1098.0,18.8198
14.8947,1104.01,18.8406
14.7972,1093.4,18.7239
14.7552,1092.31,18.7772
14.8999,1098.27,18.8671
15.0143,1095.63,18.8889
14.9869,1098.06,18.8323
14.7575,1093.13,18.8003
15.0753,1092.13,18.9441
14.9543,1095.27,18.8842
15.1132,1096.7,18.9694
15.1554,1103.98,19.0057
15.0195,1097.48,18.9299
15.0459,1098.78,18.957
15.0439,1096.92,18.8949
15.0266,1097.23,18.9099
14.8704,1097.79,18.8575
15.1413,1100.9,19.0131
15.1618,1101.14,18.9786
15.0291,1095.15,18.9181
15.0912,1097.48,18.9623
15.1931,1103.53,19.0386
15.3577,1109.42,19.1967
15.0669,1103.69,18.9001
15.1669,1103.08,19.0022
15.3203,1103.51,19.0667
15.1069,1098.17,18.9786
15.183,1102.25,19.0274
15.2072,1104.83,19.0912
15.2782,1106.38,19.0946
15.1249,1100.6,19.0068
15.2575,1104.78,19.0899
15.3401,1104.64,19.1097
15.4222,1105.9,19.1561
15.1849,1098.06,19.0168
15.2873,1099.5,19.0823
15.3225,1102.73,19.1278
15.4133,1107.04,19.176
15.165,1095.71,19.0311
15.3021,1103.42,19.1642
15.3925,1100.23,19.1462
15.459,1103.66,19.1875
15.4535,1100.87,19.1936
15.4471,1102.05,19.1527
15.5018,1097.48,19.2326
15.5438,1096.57,19.2263
15.5338,1103.93,19.2838
15.5341,1109.64,19.2971
15.4062,1105.16,19.2239
15.4647,1099.66,19.2292
15.5302,1105.72,19.3141
15.502,1105.36,19.2895
15.4216,1099.88,19.3002
15.7811,1110.12,19.4798
15.5854,1101.17,19.2768
15.5103,1104.84,19.2378
15.6982,1107.78,19.3685
15.5017,1104.13,19.3081
15.6227,1097.64,19.3843
15.6594,1105.04,19.3472
15.6913,1110.83,19.4188
15.513,1106.1,19.3053
15.4782,1098.92,19.2843
15.6054,1103.76,19.4058
15.4197,1110.11,19.2216
15.4169,1102.37,19.2691
15.6415,1116.43,19.4236
15.3963,1103.89,19.1971
15.558,1104.58,19.3705
15.6004,1118.85,19.3437
15.4578,1107.61,19.2167
15.5034,1104.53,19.3448
15.7415,1118.68,19.4742
15.4824,1110.2,19.2566
15.4462,1105.64,19.2614
15.4755,1100.5,19.3309
15.6817,1111.81,19.4231
15.3311,1104.74,19.2033
15.4157,1105.73,19.2665
15.5723,1107.05,19.282
15.3824,1102.3,19.1731
