tas,pr,tos
13.0135,1000.69,17.1589
12.9476,997.747,17.145
12.882,997.453,17.103
12.9851,997.77,17.188
12.9397,1003.75,17.1078
12.7415,994.784,17.0053
12.7404,998.021,16.9981
12.6923,994.51,16.9997
13.0685,1000.43,17.2163
13.0249,998.574,17.1921
13.0114,1003.76,17.1734
12.8779,1000.3,17.0717
12.7673,999.524,17.0313
12.7963,996.076,17.0373
12.8638,997.133,17.1229
13.0513,1003.1,17.2151
12.9267,1001.7,17.0961
12.9077,998.522,17.1046
12.8298,996.729,17.0162
12.8336,993.409,17.0348
12.8383,996.317,17.0681
12.9811,1000.51,17.156
12.9132,1003.06,17.0998
12.8981,999.401,17.0704
12.9445,997.554,17.089
13.0016,998.194,17.1733
13.1078,1002.46,17.165
13.0208,999.288,17.1789
13.0675,1000.96,17.237
13.1091,1004.0,17.2371
13.1407,1006.57,17.2253
12.8822,997.824,17.0946
12.9156,1006.44,17.1251
13.0253,998.177,17.1929
13.129,1004.32,17.313
13.0887,1004.99,17.1858
13.0196,1000.26,17.1843
13.0986,1004.17,17.2185
13.2311,1002.93,17.35
13.4197,1009.57,17.4034
13.137,1005.24,17.2863
13.101,1001.89,17.2407
13.1019,1001.22,17.2612
13.1984,1002.95,17.2446
13.0978,1006.93,17.193
12.8881,996.709,17.0947
12.8202,998.707,17.0594
12.9311,997.755,17.1074
12.9747,997.225,17.1121
13.0201,1003.64,17.1355
12.913,1003.86,17.1032
12.8676,998.943,17.0968
13.1189,1001.19,17.2584
13.0794,1002.8,17.2404
13.0571,1005.31,17.2269
12.9665,1001.36,17.1345
12.9456,1001.35,17.1355
13.0207,1001.82,17.1874
12.9713,1003.16,17.1524
13.0258,1002.44,17.186
13.0505,1001.16,17.1782
12.9791,1001.09,17.1228
12.9526,998.749,17.0942
12.8862,1000.53,17.0938
12.9496,1001.09,17.0759
13.0994,1000.31,17.2142
13.0221,1003.66,17.154
12.9487,1000.49,17.1259
12.9088,996.824,17.0983
13.0174,998.562,17.1359
13.033,1000.43,17.1835
13.1832,1009.25,17.2564
13.0405,1005.28,17.2237
12.8996,1002.34,17.0964
12.8928,998.825,17.1474
13.0699,1006.8,17.1776
12.9372,1002.18,17.1159
12.9412,999.818,17.1432
12.939,1001.15,17.1173
12.7799,995.795,17.0495
12.9503,1000.18,17.1777
13.0157,1001.89,17.2042
13.0734,998.8,17.2518
13.079,1006.07,17.2366
12.9977,1000.95,17.1631
13.013,1004.7,17.2049
12.8986,1000.96,17.1133
13.0357,997.824,17.1619
13.1336,1004.23,17.2747
13.0128,1002.62,17.1774
13.0201,1003.09,17.2096
13.1319,1007.74,17.2243
12.9043,1001.66,17.1111
12.961,1000.08,17.1489
13.1152,1004.42,17.261
12.9008,1001.8,17.1358
12.9338,999.431,17.0978
13.0354,1000.79,17.2117
12.9781,1005.33,17.1368
12.9097,999.344,17.0926
12.8787,996.155,17.1398
12.9395,999.457,17.1403
13.0117,1003.91,17.1414
12.9896,1002.81,17.1831
12.8982,998.49,17.1283
13.0084,1000.52,17.1656
12.9662,998.7,17.159
12.9926,1001.94,17.1645
12.8506,998.167,17.1054
12.8237,1001.09,17.0936
12.8941,1002.75,17.1036
12.8758,996.136,17.0715
12.955,996.674,17.1684
13.0096,1002.1,17.1913
12.993,1003.48,17.1761
13.1952,1003.68,17.2826
13.0548,1011.4,17.2098
12.936,1002.15,17.1733
12.9784,1005.59,17.1997
12.9189,1007.09,17.1186
12.9051,1003.41,17.1283
13.0737,1001.52,17.2109
13.21,1007.87,17.307
12.953,1002.76,17.1447
12.9091,999.421,17.0859
13.0019,1002.15,17.1696
12.9731,1003.67,17.1796
12.8207,1001.14,17.0363
12.8875,1002.07,17.0982
12.9042,997.737,17.1089
12.9873,1001.85,17.1182
13.006,1001.92,17.173
13.015,1002.19,17.1836
12.9034,997.267,17.1148
13.0608,999.776,17.2215
13.2926,1010.22,17.3946
13.0301,1009.25,17.2135
12.9328,1004.59,17.133
13.0816,1000.82,17.2189
13.2133,1006.81,17.3114
13.0416,1005.17,17.2229
13.0006,1003.86,17.2437
12.9585,1006.06,17.1791
12.9473,1001.86,17.1387
13.0139,1002.33,17.2081
12.9562,1002.61,17.1533
13.123,1005.44,17.2262
13.025,999.913,17.1986
13.1074,1001.53,17.2807
13.1104,1006.31,17.2517
13.0318,1002.75,17.2116
13.0239,1005.07,17.1543
12.9792,1001.38,17.1109
12.9777,1001.72,17.1324
12.946,1000.78,17.0759
12.9378,995.309,17.1009
13.067,1004.31,17.1782
13.1354,1003.25,17.2452
13.2256,1004.12,17.3401
13.0065,1005.11,17.1583
12.867,1003.63,17.108
12.8227,994.143,17.0677
12.8481,996.685,17.1258
13.025,997.548,17.2376
13.1763,1010.06,17.3274
13.0341,1002.08,17.2077
13.1597,1001.6,17.2648
13.0029,1004.01,17.2082
13.0992,1002.29,17.248
13.1068,1001.44,17.2455
13.0535,1005.41,17.2474
13.0895,1001.28,17.2272
13.2457,1005.08,17.3429
13.2771,1006.08,17.3975
13.2357,1009.74,17.3425
13.1159,1006.72,17.2935
13.0406,1005.91,17.2482
12.9673,1003.15,17.192
13.0881,1005.45,17.2982
13.1903,1009.88,17.2677
12.8784,1000.26,17.1262
13.083,1003.37,17.254
13.0677,1007.53,17.2246
13.0072,999.297,17.2142
13.0869,1001.69,17.2628
12.9536,1003.38,17.1677
12.946,1000.33,17.2113
12.9891,1003.86,17.2488
12.9481,1005.68,17.215
12.9458,1001.6,17.1427
13.0303,1001.28,17.2392
13.1278,1003.0,17.2505
13.0532,999.563,17.1813
12.9656,1003.0,17.2
13.0989,1005.98,17.2203
13.2022,1001.76,17.326
13.2646,1008.24,17.3241
13.1415,1007.0,17.2118
13.0238,1001.62,17.1793
12.9713,1005.07,17.1289
13.1119,1002.75,17.2484
13.0984,1005.49,17.2598
12.8684,1001.24,17.0988
12.8706,1004.24,17.0575
12.8557,997.884,17.0904
13.0502,998.692,17.1911
12.938,1000.68,17.1379
12.8749,1002.09,17.0742
12.9936,996.674,17.2107
13.1319,1004.21,17.2738
13.067,1000.42,17.2373
13.0527,999.283,17.2278
