tas,pr,tos
13.7836,1089.48,17.7353
13.7747,1085.58,17.7327
13.8727,1093.16,17.7864
13.9592,1089.81,17.7505
13.767,1091.99,17.6876
13.7983,1086.53,17.7028
13.6953,1082.55,17.6481
13.7149,1083.69,17.6546
13.6782,1089.84,17.6507
13.6141,1087.45,17.6182
13.6747,1085.87,17.6399
13.771,1084.48,17.6688
13.627,1086.28,17.6113
13.6536,1081.8,17.6209
13.6025,1085.27,17.6124
13.6421,1088.04,17.6023
13.5702,1083.95,17.6013
13.5985,1086.25,17.6499
13.7866,1085.16,17.7336
13.8426,1084.76,17.7389
13.6817,1088.0,17.6515
13.6552,1087.73,17.6329
13.8055,1088.08,17.6979
13.8312,1089.78,17.7216
13.7914,1086.62,17.7454
13.8152,1087.77,17.722
13.8592,1093.14,17.7436
13.7457,1090.53,17.7227
13.7622,1092.0,17.6631
13.6961,1089.38,17.601
13.7244,1085.65,17.6258
13.753,1084.01,17.701
13.8529,1087.84,17.7264
13.7422,1088.59,17.6883
13.7494,1088.58,17.7179
13.8567,1087.6,17.7634
13.8607,1092.91,17.7781
13.8759,1089.56,17.7487
13.7886,1083.2,17.6881
13.6649,1084.39,17.596
13.714,1084.21,17.6544
13.8245,1089.74,17.6636
13.5886,1083.43,17.6181
13.5151,1085.59,17.5091
13.6192,1081.93,17.5491
13.7861,1085.72,17.6275
13.8244,1083.88,17.738
13.8661,1083.1,17.7318
13.7849,1089.04,17.676
13.8772,1089.92,17.7526
13.8635,1088.98,17.774
13.8422,1096.3,17.7332
13.8935,1087.85,17.7893
13.829,1083.89,17.7673
13.7844,1087.18,17.6802
13.7713,1090.64,17.7289
13.765,1089.71,17.6904
13.641,1085.5,17.5804
13.6727,1089.22,17.6608
13.8255,1092.39,17.7058
13.8173,1092.31,17.6949
13.6464,1091.84,17.6052
13.616,1084.73,17.5703
13.7091,1085.77,17.7108
13.8939,1087.66,17.733
13.781,1090.18,17.7211
13.7838,1088.0,17.6956
13.7487,1086.67,17.6591
13.7328,1083.71,17.6848
13.7635,1087.17,17.7121
13.898,1090.19,17.7853
13.839,1090.26,17.7555
13.8644,1086.22,17.7912
13.8516,1088.05,17.7713
13.7273,1089.0,17.6551
13.5669,1086.41,17.5406
13.5673,1082.92,17.5126
13.684,1083.89,17.5876
13.6986,1085.11,17.6847
13.6986,1087.8,17.7126
13.9029,1087.86,17.7683
13.8754,1089.56,17.6987
13.6712,1091.17,17.5627
13.4758,1080.1,17.4465
13.5946,1078.91,17.5503
13.8677,1087.65,17.7541
13.661,1086.13,17.6201
13.6502,1086.09,17.6869
13.6537,1084.63,17.6422
13.7074,1082.56,17.6742
13.8252,1087.21,17.7683
13.7751,1086.56,17.6447
13.6916,1084.13,17.6337
13.7318,1086.35,17.6695
13.8046,1088.95,17.7017
13.7374,1086.07,17.663
13.782,1081.36,17.7094
13.7999,1090.61,17.6918
13.7526,1084.57,17.7046
13.6606,1088.59,17.6269
13.5549,1083.11,17.54
13.5896,1083.23,17.5676
13.4958,1081.97,17.5116
13.7022,1089.01,17.6292
13.6552,1085.99,17.6306
13.7602,1086.15,17.6593
13.8444,1085.99,17.6985
13.7203,1081.17,17.607
13.6326,1083.63,17.6115
13.7309,1085.02,17.6897
13.8971,1090.84,17.8011
13.9115,1090.71,17.7772
13.7717,1087.28,17.7094
13.7546,1088.72,17.6976
13.6844,1085.29,17.5945
13.6456,1083.82,17.6113
13.7639,1088.73,17.6711
13.7829,1090.72,17.6947
13.7789,1086.5,17.6551
13.8992,1088.83,17.7135
13.863,1090.75,17.7109
13.7514,1087.66,17.72
13.7505,1091.41,17.7412
13.702,1086.46,17.6919
13.8631,1091.46,17.7872
13.9114,1087.87,17.8139
13.7411,1089.08,17.6408
13.7739,1086.77,17.6832
13.8335,1091.92,17.7668
13.7423,1090.6,17.6651
13.7729,1092.15,17.6835
13.8277,1091.13,17.7374
13.839,1086.07,17.7069
13.824,1087.53,17.7369
13.7362,1091.37,17.7207
13.6911,1083.45,17.6481
13.6765,1087.85,17.6086
13.7766,1090.82,17.713
13.8918,1090.3,17.7509
13.8115,1087.52,17.7271
13.8181,1086.64,17.7168
13.6895,1082.43,17.6305
13.6897,1088.03,17.6487
13.6676,1089.55,17.6126
13.5466,1082.48,17.509
13.6418,1078.87,17.5649
13.7866,1084.59,17.6859
13.7964,1085.26,17.6864
13.7277,1082.0,17.61
13.7644,1087.12,17.6559
13.8541,1090.28,17.7561
13.7596,1088.07,17.707
13.6385,1087.07,17.5936
13.6064,1084.93,17.6109
13.5534,1082.47,17.5141
13.6033,1084.82,17.5602
13.6416,1086.56,17.6131
13.7233,1085.99,17.6683
13.8018,1090.66,17.7312
13.8286,1082.71,17.7274
13.8009,1088.58,17.7404
13.7395,1083.13,17.6434
13.8764,1089.92,17.7241
13.8425,1091.57,17.6877
13.735,1083.08,17.5988
13.7191,1084.49,17.5728
13.5977,1086.15,17.5427
13.6241,1087.29,17.5631
13.8043,1084.41,17.6503
13.7184,1092.97,17.6698
13.6837,1083.48,17.6188
13.6339,1082.68,17.6033
13.671,1084.52,17.6503
13.6968,1078.66,17.6376
13.6973,1081.82,17.6355
13.7723,1084.2,17.6885
13.7786,1092.7,17.7099
13.7751,1088.49,17.6576
13.7685,1091.42,17.677
13.7305,1092.48,17.6719
13.7957,1085.03,17.6745
13.7951,1090.96,17.7516
13.8145,1083.13,17.7265
13.7354,1081.81,17.7253
13.7503,1089.15,17.6811
13.7205,1089.17,17.6696
13.6959,1082.18,17.6201
13.7051,1085.26,17.6546
13.6628,1086.96,17.6651
13.7156,1081.77,17.6273
13.7357,1086.46,17.6689
13.8226,1080.92,17.6667
13.9392,1086.43,17.8031
13.6919,1079.56,17.6734
13.86,1087.99,17.7471
