tas,rlut,rsut,rsdt,pr,clt,tos
12.4522,239.245,98.7273,341.506,1099.09,0.581831,17.2756
12.4984,239.271,98.3788,341.506,1100.12,0.579858,17.3127
12.5921,239.704,98.6152,341.514,1108.76,0.579861,17.4106
12.7226,239.734,98.8966,341.506,1109.54,0.58102,17.4131
12.3939,239.231,98.5497,341.506,1098.12,0.578591,17.2423
12.275,239.151,98.9166,341.506,1095.88,0.580736,17.1906
12.3604,239.252,98.7187,341.514,1095.95,0.579353,17.254
12.4828,239.362,98.5536,341.506,1098.8,0.579386,17.2925
12.4704,239.362,98.5237,341.506,1099.23,0.579637,17.3391
12.531,239.554,98.6641,341.506,1103.23,0.578476,17.3722
12.6399,239.808,98.2793,341.514,1101.8,0.579245,17.3572
12.6114,239.821,98.2865,341.506,1102.52,0.57742,17.3495
12.6548,239.947,98.1294,341.506,1101.55,0.575348,17.3992
12.6762,239.707,98.1518,341.506,1099.43,0.578575,17.3736
12.6573,239.815,98.1277,341.514,1106.25,0.577486,17.3497
12.785,239.735,97.9114,341.506,1105.3,0.578243,17.4273
12.8071,239.74,97.7526,341.506,1101.33,0.579021,17.4814
12.9327,239.975,97.8518,341.506,1106.41,0.579263,17.5958
12.9697,240.089,97.8167,341.514,1114.56,0.579784,17.5944
12.9164,240.171,97.8494,341.506,1106.61,0.578363,17.595
12.9189,240.134,97.8456,341.506,1105.69,0.576354,17.5266
12.8038,239.8,98.0875,341.506,1107.8,0.579485,17.505
12.8867,239.942,97.7191,341.514,1104.64,0.578664,17.5466
12.8853,240.138,97.8314,341.506,1107.29,0.577447,17.5775
12.7921,239.819,97.9337,341.506,1102.27,0.578136,17.4665
12.7513,239.757,98.2161,341.506,1105.9,0.581947,17.5097
12.9032,240.183,97.9883,341.514,1109.13,0.578118,17.5569
12.9954,240.183,97.6989,341.506,1107.67,0.580017,17.6675
13.0657,240.348,97.8961,341.506,1112.04,0.579765,17.6577
12.8717,239.817,98.0211,341.506,1106.81,0.57941,17.5397
12.8503,239.893,97.7467,341.514,1103.96,0.5783,17.5444
12.963,240.066,97.8418,341.506,1109.29,0.580038,17.6324
13.0894,240.726,97.6335,341.506,1117.34,0.57611,17.6728
12.7567,239.699,98.1959,341.506,1100.73,0.579672,17.4718
12.7122,239.716,98.0442,341.514,1103.4,0.578681,17.5001
12.7498,239.636,98.2329,341.506,1104.98,0.579785,17.5063
12.9422,240.197,97.9176,341.506,1112.58,0.579908,17.6688
13.0144,240.424,97.917,341.506,1115.03,0.578273,17.6518
12.829,239.901,97.9676,341.514,1104.5,0.577945,17.5141
12.778,239.952,98.022,341.506,1105.57,0.57795,17.4847
12.8629,240.045,98.0134,341.506,1108.75,0.57778,17.5499
12.8521,240.015,98.308,341.506,1112.51,0.579951,17.5212
12.8317,239.832,98.2023,341.514,1110.26,0.581017,17.5567
12.9279,240.293,98.1384,341.506,1111.09,0.578941,17.556
12.7281,239.704,98.21,341.506,1104.18,0.578956,17.5004
12.8916,240.058,98.1696,341.506,1110.48,0.579987,17.5622
12.9145,240.126,98.0268,341.514,1108.19,0.579386,17.6004
12.8032,240.028,98.2724,341.506,1109.21,0.578369,17.569
12.7456,239.999,98.0513,341.506,1108.09,0.577052,17.5328
12.7963,240.077,98.4954,341.506,1107.66,0.577504,17.5044
12.683,239.676,98.2489,341.52,1098.86,0.577855,17.4233
12.8658,239.873,98.1488,341.506,1108.11,0.580586,17.5041
12.7874,239.946,98.1196,341.506,1108.13,0.578923,17.5247
12.8239,240.013,98.2776,341.506,1109.82,0.580195,17.4996
12.7412,239.848,98.5306,341.514,1105.46,0.579003,17.489
12.7847,240.271,98.1666,341.506,1110.83,0.576491,17.5053
12.7085,239.719,98.2385,341.506,1102.88,0.577755,17.4395
12.6801,239.613,98.3432,341.506,1102.65,0.582154,17.4658
12.8333,239.908,98.4996,341.514,1111.01,0.581136,17.4717
12.6718,239.537,98.4059,341.506,1104.58,0.581151,17.4413
12.8135,239.989,98.2442,341.506,1109.52,0.58119,17.5123
12.8806,240.11,97.8123,341.506,1105.31,0.577327,17.502
12.9548,239.855,97.6735,341.514,1106.34,0.580263,17.5725
13.0949,240.282,97.6281,341.506,1115.03,0.577965,17.6091
12.9226,239.805,97.5221,341.506,1102.47,0.578154,17.5479
13.0583,240.117,97.6085,341.506,1112.16,0.580517,17.6332
13.1602,240.506,97.6004,341.514,1116.17,0.579933,17.6234
12.9912,240.084,97.8048,341.506,1109.02,0.578328,17.5795
12.9243,239.942,97.8736,341.506,1107.76,0.581166,17.5599
13.1734,240.564,97.6433,341.506,1115.93,0.578927,17.6932
12.9326,240.159,97.9736,341.514,1107.08,0.577039,17.6133
12.9563,240.227,98.1871,341.506,1109.24,0.579428,17.6152
12.8986,239.922,98.098,341.506,1107.3,0.580742,17.6418
12.9111,239.976,98.1322,341.506,1109.96,0.581131,17.6377
12.9534,240.332,98.0141,341.514,1111.07,0.577117,17.6062
12.9587,240.096,97.8914,341.506,1107.5,0.577527,17.5701
12.8621,240.108,98.3533,341.506,1108.66,0.580706,17.5492
12.8411,240.109,98.1672,341.506,1109.74,0.578771,17.5776
12.7858,239.884,98.4214,341.514,1105.87,0.577528,17.5386
12.7676,239.571,98.3159,341.506,1102.16,0.582634,17.516
12.9187,240.346,97.7295,341.506,1108.91,0.576676,17.5693
12.903,240.042,98.113,341.506,1109.67,0.579286,17.6118
12.8421,240.123,98.1513,341.514,1110.91,0.577451,17.5339
12.807,239.96,98.129,341.506,1104.02,0.577127,17.5624
12.9529,240.022,97.922,341.506,1108.68,0.579094,17.6264
13.1014,240.507,97.5981,341.506,1113.83,0.578299,17.6463
12.9957,240.236,97.8195,341.514,1106.25,0.579048,17.58
13.0524,240.299,97.9213,341.506,1109.61,0.578635,17.6065
12.8539,240.137,98.3185,341.506,1113.94,0.577947,17.579
12.6307,239.513,98.2755,341.506,1102.76,0.579181,17.4204
12.7008,239.653,98.2137,341.514,1100.91,0.578813,17.4307
12.9275,240.261,97.9721,341.506,1109.02,0.578823,17.6149
12.9593,240.449,97.886,341.506,1109.19,0.576488,17.6479
12.8198,240.01,98.1728,341.506,1109.49,0.579049,17.5709
12.9521,240.273,97.9924,341.514,1114.19,0.578705,17.6183
12.8523,239.87,98.3796,341.506,1107.87,0.580961,17.5949
12.8868,240.097,98.1997,341.506,1109.82,0.578672,17.5727
12.8206,239.851,98.4448,341.506,1113.32,0.581353,17.5304
12.7585,239.946,98.2402,341.514,1105.96,0.579054,17.4862
12.7218,239.633,98.4215,341.506,1105.0,0.580688,17.4452
12.6912,239.78,98.6139,341.506,1106.85,0.580832,17.4603
12.7148,239.772,98.3454,341.506,1100.91,0.577999,17.4349
12.7743,239.992,98.0455,341.514,1106.7,0.578546,17.4896
12.6621,239.656,98.7152,341.506,1109.15,0.581886,17.4355
12.6782,239.502,98.2812,341.506,1098.71,0.580711,17.346
12.7455,239.617,98.0692,341.506,1104.09,0.582355,17.4763
12.7188,239.957,98.2673,341.514,1107.34,0.577883,17.4742
12.6526,239.705,98.3788,341.506,1104.39,0.579911,17.4294
12.6989,239.666,98.4589,341.506,1106.57,0.580251,17.4111
12.7138,239.729,98.3552,341.506,1105.17,0.579818,17.4551
12.9506,240.005,98.1272,341.514,1109.31,0.580684,17.5672
12.9467,240.287,98.1343,341.506,1114.73,0.57875,17.5455
12.8547,239.877,98.0505,341.506,1105.53,0.578744,17.5134
12.8633,239.844,98.0706,341.506,1107.51,0.579327,17.5536
12.931,240.183,97.9039,341.514,1110.49,0.577579,17.5666
12.9577,240.12,97.7883,341.506,1108.19,0.577116,17.5772
12.904,239.895,98.0321,341.506,1103.62,0.580945,17.4744
12.9768,240.273,97.7227,341.506,1113.27,0.579134,17.5606
12.899,239.928,97.6001,341.514,1104.88,0.577432,17.5348
12.8699,239.895,97.8502,341.506,1105.28,0.579818,17.5466
13.0916,240.397,97.5393,341.506,1113.54,0.57825,17.63
12.9076,240.071,97.8743,341.506,1109.41,0.580651,17.5667
12.9346,239.909,97.8398,341.514,1106.84,0.579623,17.586
12.9141,239.891,97.7742,341.506,1114.63,0.579545,17.6228
