tas,rlut,rsut,rsdt,pr,clt,tos
13.4344,238.538,103.054,341.568,1087.41,0.625803,17.9989
13.5689,239.015,103.195,341.568,1089.55,0.624992,18.0077
13.3959,238.608,103.257,341.568,1087.85,0.62398,17.8298
13.2967,238.474,103.279,341.568,1080.73,0.621947,17.7814
13.2781,238.393,103.335,341.568,1083.15,0.623763,17.7919
13.3626,238.526,102.986,341.568,1080.8,0.623349,17.817
13.2271,238.379,103.398,341.568,1082.16,0.624235,17.7858
13.3171,238.336,102.963,341.568,1080.01,0.623163,17.7947
13.3945,238.819,102.825,341.568,1077.53,0.621995,17.8654
13.3751,238.564,103.09,341.568,1082.55,0.623342,17.8146
13.32,238.529,103.222,341.568,1081.21,0.622992,17.7585
13.4257,238.587,102.732,341.568,1082.0,0.620859,17.865
13.3986,238.997,103.184,341.568,1083.0,0.62171,17.8048
13.3725,238.399,102.819,341.568,1082.8,0.622337,17.8296
13.5213,238.961,102.83,341.568,1083.85,0.62185,17.9979
13.4543,238.806,102.88,341.568,1083.78,0.622363,17.834
13.418,238.621,102.594,341.568,1080.99,0.620311,17.9111
13.4477,238.663,103.085,341.568,1081.07,0.624519,17.8675
13.375,238.491,102.803,341.568,1078.52,0.622669,17.8605
13.4899,238.681,102.767,341.568,1084.31,0.621395,17.9086
13.459,239.074,103.338,341.568,1086.87,0.62326,17.9278
13.3209,238.363,103.361,341.568,1081.99,0.625043,17.8241
13.3199,238.477,103.503,341.568,1085.32,0.624119,17.8436
13.166,237.908,103.254,341.568,1077.75,0.623489,17.7684
13.3773,238.588,102.673,341.568,1081.75,0.621432,17.9394
13.7028,239.394,103.218,341.568,1095.37,0.627978,18.1335
13.6001,239.078,103.229,341.568,1088.4,0.625691,17.9998
13.2801,238.293,103.357,341.568,1081.77,0.622557,17.7601
13.2275,238.344,103.296,341.568,1079.21,0.621513,17.7259
13.2911,238.383,103.022,341.568,1080.21,0.621429,17.8063
13.3872,238.709,103.031,341.568,1083.69,0.622894,17.8986
13.3954,238.811,102.769,341.568,1079.52,0.620704,17.8414
13.4185,238.714,102.907,341.568,1079.65,0.621883,17.8667
13.3689,238.731,103.066,341.568,1079.94,0.62103,17.7736
13.3887,238.494,102.988,341.568,1079.84,0.621338,17.8167
13.3904,238.545,103.066,341.568,1083.32,0.621724,17.8536
13.3748,238.456,103.552,341.568,1087.2,0.624596,17.8162
13.3739,238.595,103.106,341.568,1080.91,0.622037,17.8494
13.2597,238.441,103.287,341.568,1083.4,0.621226,17.7665
13.2482,238.211,103.597,341.568,1078.63,0.625144,17.7448
13.3701,238.609,102.818,341.568,1076.85,0.623141,17.8767
13.5074,239.107,103.162,341.568,1083.9,0.622326,17.9396
13.3755,238.532,103.24,341.568,1083.05,0.624081,17.779
13.3867,238.345,102.685,341.568,1074.42,0.622735,17.8188
13.5304,238.907,102.827,341.568,1084.91,0.622787,17.9448
13.4125,238.798,103.263,341.568,1081.7,0.622331,17.9041
13.4689,238.638,102.75,341.568,1083.95,0.620783,17.9817
13.4019,238.643,103.357,341.568,1089.27,0.623698,17.9019
13.3073,238.385,102.794,341.568,1079.12,0.623264,17.8344
13.5121,238.98,103.026,341.568,1085.81,0.620522,17.9498
13.2344,238.402,103.805,341.568,1082.43,0.623852,17.723
13.2675,238.249,103.177,341.568,1081.64,0.623113,17.791
13.4192,238.572,102.926,341.568,1082.85,0.624378,17.921
13.3791,238.683,103.227,341.568,1082.21,0.622318,17.845
13.3446,238.564,103.07,341.568,1081.77,0.62161,17.8157
13.365,238.79,102.973,341.568,1079.74,0.621492,17.8509
13.4237,238.563,103.013,341.568,1084.97,0.623292,17.8773
13.3285,238.576,103.187,341.568,1084.94,0.622713,17.8216
13.3534,238.651,102.898,341.568,1082.34,0.620428,17.8024
13.304,238.56,103.366,341.568,1083.11,0.621885,17.8067
13.2761,238.44,103.247,341.568,1080.95,0.621496,17.769
13.5029,238.624,102.786,341.568,1082.39,0.622638,17.9201
13.5345,239.091,102.966,341.568,1086.56,0.620791,17.9948
13.3836,238.876,103.04,341.568,1084.76,0.620984,17.8514
13.2745,238.383,103.138,341.568,1084.67,0.622244,17.8
13.3276,238.357,102.772,341.568,1077.71,0.619791,17.8296
13.4146,238.927,102.938,341.568,1080.41,0.621701,17.85
13.5034,238.833,102.605,341.568,1088.61,0.620615,17.9667
13.5908,239.124,102.821,341.568,1089.91,0.621994,17.9815
13.5404,238.811,102.7,341.568,1081.63,0.620912,17.9101
13.441,238.468,102.976,341.568,1084.03,0.622969,17.8928
13.4922,238.896,102.903,341.568,1092.14,0.620252,17.9674
13.4046,238.673,102.742,341.568,1083.41,0.618071,17.8866
13.4045,238.73,103.073,341.568,1083.23,0.622182,17.9135
13.4549,239.028,102.789,341.568,1082.97,0.620224,17.9058
13.3916,238.708,102.915,341.568,1082.2,0.620124,17.8836
13.3969,238.725,102.832,341.568,1085.93,0.620361,17.9089
13.4348,238.848,102.835,341.568,1082.81,0.619002,17.9201
13.4596,238.558,102.716,341.568,1085.17,0.620729,17.9255
13.4754,238.948,103.33,341.568,1087.15,0.622515,17.9559
13.444,238.682,102.907,341.568,1081.84,0.621936,17.9337
13.3645,238.722,103.045,341.568,1085.68,0.621013,17.8875
13.4991,238.923,102.78,341.568,1078.95,0.621403,17.9694
13.4071,238.733,103.569,341.568,1088.34,0.625421,17.8625
13.4185,238.329,102.813,341.568,1082.93,0.62218,17.9192
13.5139,238.858,102.597,341.568,1080.15,0.620644,17.94
13.4856,238.98,103.193,341.568,1089.53,0.621053,17.9499
13.481,238.97,103.063,341.568,1089.04,0.623229,17.9346
13.4815,238.708,102.982,341.568,1091.84,0.623171,17.949
13.4256,238.608,102.933,341.568,1084.81,0.620461,17.8743
13.3786,238.546,102.889,341.568,1084.77,0.622637,17.8219
13.4644,238.648,102.832,341.568,1082.96,0.62296,17.9441
13.5216,238.855,103.026,341.568,1090.7,0.623521,17.9513
13.4203,238.797,102.99,341.568,1084.74,0.62046,17.8831
13.4065,238.474,102.753,341.568,1080.91,0.620561,17.8485
13.4539,238.912,103.087,341.568,1084.45,0.623118,17.9159
13.4185,238.979,103.156,341.568,1084.43,0.622311,17.8766
13.4299,238.667,102.884,341.568,1081.22,0.621982,17.8973
13.4448,238.913,102.784,341.568,1082.17,0.622881,17.9208
13.2918,238.613,103.029,341.568,1081.08,0.620279,17.7927
13.2236,238.232,103.128,341.568,1079.05,0.621838,17.7928
13.3779,238.604,103.124,341.568,1085.78,0.623657,17.9357
13.5002,238.992,102.822,341.568,1085.09,0.62146,17.9688
13.3146,238.546,102.998,341.568,1082.13,0.620001,17.8056
13.3958,238.669,103.306,341.568,1081.29,0.62347,17.83
13.3372,238.653,102.732,341.568,1083.52,0.619045,17.8092
13.28,238.525,103.429,341.568,1081.63,0.624343,17.8158
13.3245,238.583,103.346,341.568,1081.67,0.622975,17.8125
13.3825,238.798,102.824,341.568,1079.18,0.62103,17.8238
13.4161,238.59,102.938,341.568,1082.75,0.622466,17.8627
13.347,238.472,103.286,341.568,1083.3,0.625297,17.8305
13.3914,238.778,103.218,341.568,1087.13,0.622718,17.9265
13.4911,238.896,102.941,341.568,1084.92,0.61997,17.9533
13.3912,238.796,103.204,341.568,1083.61,0.624876,17.8246
13.2739,238.491,103.635,341.568,1085.55,0.623396,17.7112
13.0937,237.795,103.331,341.568,1076.79,0.621755,17.6376
13.4653,238.591,102.492,341.568,1081.25,0.622555,17.939
13.4121,238.837,103.739,341.568,1083.05,0.627905,17.8551
13.2272,238.153,103.398,341.568,1081.19,0.622842,17.7207
13.2567,238.45,103.098,341.568,1081.47,0.62307,17.6817
13.1361,238.023,103.485,341.568,1073.9,0.622369,17.6521
13.2307,238.157,103.572,341.568,1081.59,0.62645,17.7954
13.382,238.775,103.616,341.568,1085.24,0.626694,17.8166
13.1699,238.25,103.816,341.568,1081.13,0.625354,17.695
13.1143,237.977,103.482,341.568,1075.97,0.623022,17.6606
13.1677,237.934,103.337,341.568,1076.59,0.624838,17.6939
13.3718,238.806,102.819,341.568,1081.13,0.621829,17.8002
13.2933,238.548,103.842,341.568,1080.3,0.62939,17.7766
13.1707,237.994,103.388,341.568,1077.65,0.62458,17.6666
13.1671,238.228,103.288,341.568,1077.49,0.623367,17.7215
13.192,238.144,103.595,341.568,1082.45,0.625085,17.7389
13.2178,238.552,103.724,341.568,1083.91,0.625123,17.7065
13.0944,237.739,103.642,341.568,1078.2,0.626211,17.6153
13.2115,238.241,103.194,341.568,1078.56,0.623872,17.7837
13.2601,238.594,103.713,341.568,1084.43,0.626326,17.7636
13.1989,238.185,103.351,341.568,1075.08,0.622918,17.6857
13.1345,238.158,103.715,341.568,1076.95,0.625604,17.6339
13.0827,237.914,103.486,341.568,1077.07,0.62405,17.6101
13.0664,238.05,103.473,341.568,1075.18,0.624418,17.6687
13.185,238.339,103.667,341.568,1082.77,0.625831,17.7124
13.1584,238.354,103.086,341.568,1073.06,0.621311,17.6373
13.0697,238.013,103.592,341.568,1073.2,0.622772,17.5988
13.2273,238.121,103.137,341.568,1078.93,0.623403,17.731
13.3968,238.773,102.651,341.568,1075.94,0.621825,17.9165
13.4641,238.823,102.915,341.568,1079.86,0.621401,17.8785
13.4525,238.986,102.723,341.568,1082.71,0.619503,17.8758
13.2971,238.573,103.402,341.568,1083.69,0.622284,17.7471
13.2399,238.089,103.673,341.568,1081.03,0.627053,17.7606
13.3377,238.433,102.905,341.568,1081.1,0.620794,17.8053
13.3361,238.485,103.363,341.568,1084.5,0.624523,17.7908
13.4098,238.798,103.382,341.568,1085.8,0.625557,17.8527
13.4341,238.781,103.071,341.568,1079.7,0.62309,17.882
13.2856,238.329,103.414,341.568,1078.55,0.624678,17.7721
13.1597,238.189,103.686,341.568,1081.18,0.625735,17.6773
13.0618,238.041,103.611,341.568,1076.99,0.624055,17.6006
12.9704,237.761,103.764,341.568,1076.06,0.626201,17.5567
13.1198,237.926,103.24,341.568,1071.42,0.623367,17.7044
13.2574,238.595,103.152,341.568,1079.82,0.626085,17.7671
13.2849,238.232,102.878,341.568,1077.77,0.622588,17.84
13.3336,238.578,103.269,341.568,1080.9,0.625445,17.8235
13.2454,238.428,103.603,341.568,1084.96,0.627219,17.714
13.1213,237.966,103.14,341.568,1072.14,0.625218,17.6351
13.1144,238.068,103.342,341.568,1073.49,0.623395,17.6352
13.1877,238.408,103.286,341.568,1078.29,0.622029,17.6473
13.2246,238.297,103.236,341.568,1074.43,0.623058,17.646
13.2867,238.372,102.779,341.568,1075.85,0.620994,17.7455
13.2761,238.339,103.533,341.568,1082.9,0.626178,17.7963
13.2616,238.457,103.474,341.568,1076.39,0.625524,17.7934
13.1879,238.365,103.67,341.568,1079.66,0.625905,17.7102
13.1338,237.851,103.378,341.568,1076.09,0.622923,17.7026
13.2494,238.298,103.273,341.568,1080.8,0.624246,17.7735
13.2072,238.203,103.623,341.568,1082.53,0.624682,17.7564
13.2089,238.228,103.339,341.568,1079.37,0.623173,17.7284
13.1932,238.506,103.682,341.568,1076.26,0.625111,17.7429
13.1224,238.169,103.73,341.568,1079.73,0.624319,17.709
13.0926,238.051,103.655,341.568,1077.56,0.62502,17.6838
13.1497,238.277,103.46,341.568,1073.68,0.624485,17.6731
13.1676,238.081,103.644,341.568,1079.12,0.624914,17.7263
13.1854,238.289,103.28,341.568,1074.31,0.623482,17.6729
13.2562,238.379,103.46,341.568,1081.0,0.62427,17.7676
13.0574,238.2,103.919,341.568,1082.42,0.625287,17.6231
13.0348,237.697,103.771,341.568,1075.01,0.627012,17.5758
13.1651,238.481,103.35,341.568,1077.65,0.62266,17.6558
13.1519,237.856,103.225,341.568,1071.19,0.622987,17.6556
13.2575,238.179,102.946,341.568,1072.82,0.623328,17.7707
13.2711,238.58,103.264,341.568,1078.72,0.624942,17.8368
13.3596,238.434,102.81,341.568,1080.02,0.620592,17.8738
13.4404,238.808,102.791,341.568,1080.49,0.621987,17.9005
13.5976,239.009,102.873,341.568,1084.22,0.623446,17.9675
13.3483,238.69,103.657,341.568,1082.8,0.62512,17.8019
13.1135,237.968,103.358,341.568,1080.85,0.623188,17.6728
13.2217,238.32,103.251,341.568,1082.02,0.62338,17.7638
13.3178,238.525,102.904,341.568,1077.78,0.623285,17.7656
13.3238,238.386,102.899,341.568,1078.11,0.622654,17.8232
13.3679,238.82,103.256,341.568,1081.98,0.623023,17.8493
13.3555,238.672,102.938,341.568,1080.12,0.621504,17.814
13.2874,238.336,102.564,341.568,1075.07,0.620468,17.7891
13.4651,238.687,102.777,341.568,1078.91,0.62228,17.944
13.6375,239.176,103.246,341.568,1089.37,0.627426,18.0323
13.2868,238.425,103.547,341.568,1090.11,0.624782,17.8008
13.3704,238.291,103.018,341.568,1082.04,0.62341,17.8598
13.4742,239.025,103.262,341.568,1085.31,0.623227,17.8877
13.3416,238.246,103.323,341.568,1079.07,0.622602,17.7801
13.2932,238.466,103.237,341.568,1081.81,0.623126,17.7508
13.3052,238.356,103.071,341.568,1081.26,0.622747,17.7978
13.4209,238.757,103.137,341.568,1081.84,0.624415,17.8266
13.332,238.57,102.904,341.568,1078.15,0.621489,17.8051
13.3853,238.799,103.299,341.568,1086.6,0.622441,17.8277
13.3613,238.603,103.167,341.568,1079.52,0.622626,17.7915
13.3443,238.554,103.185,341.568,1080.81,0.623975,17.7704
13.189,238.267,103.313,341.568,1078.69,0.623139,17.6822
13.1435,238.19,103.526,341.568,1077.53,0.623922,17.6699
13.1269,238.245,103.251,341.568,1075.92,0.622571,17.6898
13.3342,238.638,103.357,341.568,1084.75,0.626527,17.8629
13.3542,238.765,103.472,341.568,1083.67,0.627156,17.8494
13.1628,238.117,103.906,341.568,1079.57,0.627257,17.6598
13.1365,238.111,103.152,341.568,1079.86,0.622903,17.7301
13.3406,238.472,103.101,341.568,1081.81,0.624154,17.8406
13.2999,238.609,103.408,341.568,1078.82,0.625418,17.7658
13.046,237.968,103.797,341.568,1077.35,0.622669,17.6282
13.1011,237.902,103.388,341.568,1075.65,0.625542,17.6532
13.2541,238.453,103.325,341.568,1079.38,0.624463,17.7065
13.1922,238.24,103.37,341.568,1075.99,0.624118,17.6874
13.2124,238.051,102.984,341.568,1077.22,0.622875,17.6832
13.2163,238.271,103.237,341.568,1080.53,0.622034,17.7425
13.2943,238.556,103.432,341.568,1083.32,0.623461,17.7622
13.3501,238.276,102.878,341.568,1081.14,0.623187,17.8163
13.383,238.596,103.157,341.568,1081.49,0.624671,17.7779
13.3605,238.714,103.071,341.568,1084.74,0.624129,17.8064
