USA,Canada,S+C America,Europe,Nafrica/Meast,Trop.Africa,Frmr USSR,China,S+SE Asia,Pac.Dev.Reg
164.0922,5.5476,23.4757,55.0441,3.984,-1.3484,58.5571,101.8392,87.3469,2.0458
165.7256,5.3626,23.152,55.0156,3.9839,-1.1192,58.5525,93.0766,86.91,2.0419
230.6725,5.338,22.8618,54.9874,3.9837,-1.0033,58.8781,83.8307,86.9385,2.0379
238.5149,5.3138,22.6017,54.959,3.9835,-1.0513,59.2207,74.214,86.9935,2.0338
246.1846,5.2899,22.3687,54.9304,3.9833,-0.9855,59.5802,64.3129,87.063,2.0297
253.5646,5.2663,22.16,54.9016,3.983,-1.1397,59.9564,54.194,87.1452,2.0255
260.5263,5.243,21.9733,54.8726,3.983,-1.1049,60.3411,52.5623,87.2403,2.0218
267.2467,5.2198,21.8063,54.8434,3.983,-1.1372,60.7234,51.272,87.3385,2.0181
273.5912,5.1968,21.657,54.8139,3.983,-1.3895,61.103,50.2343,87.4348,2.0143
279.7326,5.1739,21.5238,54.7842,3.983,-1.6117,61.4799,49.3921,87.5291,2.0104
285.6716,5.1511,21.0521,54.7543,3.9829,-1.8338,61.8537,48.7025,87.6218,2.0066
290.6665,5.1284,21.8892,54.7862,9.011,-2.0559,62.2242,48.1326,87.7196,2.0821
237.6862,6.7722,22.1333,54.8635,9.9571,-1.942,53.6909,47.7736,87.8153,2.1826
236.8319,7.3119,22.2482,54.9554,10.8221,-1.6705,53.7482,46.6115,87.9075,2.2994
235.9699,7.8399,22.3048,55.0611,11.2539,-1.2478,53.8026,46.1613,87.997,2.4273
235.2334,8.3582,22.3425,55.1798,11.6393,-0.6633,53.8618,45.7781,88.0811,2.5633
234.7966,8.8682,21.9117,55.3125,11.9889,-0.4503,53.7361,45.4492,88.1615,2.6984
232.539,9.3709,21.4929,55.4566,12.3102,-0.237,53.6184,45.1671,88.2396,2.8314
230.5537,9.8671,21.0899,55.6114,12.6085,-0.2089,53.5102,44.9215,88.3126,2.9618
228.6445,10.3574,20.7033,55.7765,12.8879,-0.4199,53.4121,44.7063,88.3836,3.0891
226.7993,10.8421,20.6845,55.951,13.1514,-0.6307,53.3205,44.5167,88.4499,3.213
224.1995,11.3216,20.618,50.4782,13.4019,-0.8373,53.2349,44.3485,110.0401,9.87
303.8927,11.7961,20.4667,49.5951,13.6407,-1.044,53.4881,44.1989,115.2003,11.9261
309.2584,12.2658,20.3876,48.753,13.8692,-0.8107,53.7454,44.0649,118.9247,13.659
314.4476,12.7306,20.3382,47.945,14.0887,-0.4387,54.0056,41.9545,121.7101,14.333
319.3339,13.1908,20.295,47.165,14.3001,-0.2518,54.2676,41.4062,123.8744,14.8672
324.0799,13.6463,20.4093,46.5281,14.4652,-0.0649,54.9449,40.8748,125.2495,15.35
330.0679,13.2989,20.8655,45.9364,14.6283,-0.0332,55.036,40.4067,126.4083,15.7573
335.7983,13.224,21.3048,45.3859,14.7896,-0.0014,55.1253,40.3165,127.4174,16.1158
341.3216,13.1455,21.7243,44.8729,14.9313,0.0302,55.2119,40.4353,128.3197,16.4426
346.6568,13.0634,22.1232,44.3942,15.0719,-0.1584,55.3017,40.5859,129.1453,16.7486
350.7138,12.9779,54.0996,43.9404,15.2116,-0.3282,55.4023,40.3481,129.5359,17.0474
295.6249,12.8891,62.9856,43.5157,15.3507,-0.498,55.5127,40.1313,129.8825,17.3438
294.0081,12.7972,70.1564,43.1178,15.4893,-0.6911,55.6322,39.9314,130.1972,17.6405
292.7059,12.7024,76.0985,42.7448,15.6275,-0.4439,55.76,39.7453,130.4838,17.9395
291.5623,12.6048,81.15,42.3948,15.7655,-0.1969,55.8955,39.5674,130.7499,18.242
290.3335,12.5047,84.0937,42.5571,15.9008,0.0499,56.0314,39.3987,130.9958,18.5397
286.8137,12.4021,86.1971,42.7312,16.0336,0.1267,56.1671,39.2377,131.2262,18.8332
283.3092,12.2974,87.9335,42.9158,16.1639,-0.0167,56.3023,39.0831,131.4435,19.1227
279.9184,12.1907,89.3882,43.1097,16.2919,-0.2021,56.4362,39.0309,131.6463,19.3617
276.6088,12.0821,90.6234,43.3116,16.4175,-0.169,56.5684,38.9838,131.8386,19.5971
272.6224,11.9717,73.4217,43.5137,16.5408,-0.4233,56.6985,39.0009,148.303,19.8289
285.1653,11.8975,69.9525,43.7151,16.6618,-0.6777,56.8279,39.0256,152.338,20.0572
285.5659,11.8218,67.2976,43.9148,16.7807,-1.0833,56.956,39.0573,155.249,20.2819
287.1071,11.7448,65.2477,44.1119,16.8973,-1.422,57.0827,54.5849,157.4357,20.503
288.6845,11.6666,63.6494,44.3056,17.0118,-1.2556,57.2074,56.3774,159.1528,20.7204
288.3386,11.5874,62.5711,44.4951,17.1242,-1.2784,57.3301,58.0801,160.2487,20.934
289.2498,11.5071,61.7471,44.6798,17.2345,-0.9609,57.4502,59.7669,161.1416,21.1438
