trop_soil,nyl_prod,ff_burn,bio_burn,biogen
-0.03,0.0,0.02,0.2,0.42
-0.03,0.0,0.02,0.2,0.42
-0.03,0.0,0.02,0.2,0.42
-0.03,0.0,0.02,0.2,0.43
-0.03,0.0,0.02,0.2,0.43
-0.03,0.0,0.02,0.2,0.43
-0.03,0.0,0.02,0.2,0.44
-0.03,0.0,0.02,0.2,0.44
-0.03,0.0,0.02,0.2,0.44
-0.03,0.0,0.02,0.21,0.44
-0.03,0.0,0.02,0.21,0.45
-0.03,0.0,0.02,0.21,0.45
-0.03,0.0,0.02,0.21,0.46
-0.04,0.0,0.02,0.21,0.46
-0.04,0.0,0.02,0.21,0.46
-0.04,0.0,0.02,0.21,0.47
-0.04,0.0,0.02,0.21,0.47
-0.05,0.0,0.02,0.21,0.48
-0.05,0.0,0.02,0.21,0.48
-0.05,0.0,0.02,0.21,0.49
-0.05,0.0,0.02,0.21,0.49
-0.06,0.0,0.02,0.21,0.5
-0.07,0.0,0.02,0.21,0.51
-0.07,0.0,0.02,0.21,0.52
-0.08,0.0,0.02,0.21,0.52
-0.08,0.0,0.02,0.21,0.53
-0.09,0.0,0.02,0.21,0.54
-0.09,0.0,0.02,0.22,0.55
-0.1,0.0,0.02,0.22,0.55
-0.1,0.0,0.02,0.22,0.56
-0.11,0.0,0.02,0.22,0.57
-0.11,0.0,0.02,0.22,0.57
-0.11,0.0,0.02,0.22,0.58
-0.11,0.0,0.02,0.22,0.58
-0.12,0.0,0.02,0.22,0.58
-0.12,0.0,0.02,0.22,0.59
-0.12,0.0,0.02,0.22,0.59
-0.12,0.0,0.02,0.22,0.6
-0.12,0.0,0.02,0.22,0.6
-0.12,0.0,0.02,0.22,0.6
-0.13,0.0,0.02,0.22,0.61
-0.13,0.0,0.02,0.22,0.61
-0.14,0.0,0.02,0.22,0.63
-0.14,0.0,0.02,0.22,0.65
-0.15,0.0,0.02,0.22,0.72
-0.15,0.0,0.02,0.23,0.74
-0.16,0.0,0.02,0.23,0.81
-0.17,0.0,0.03,0.23,0.83
-0.17,0.0,0.03,0.23,0.9
-0.18,0.0,0.03,0.23,0.97
-0.18,0.0,0.03,0.23,1.0
-0.19,0.0,0.03,0.23,1.06
-0.19,0.0,0.03,0.23,1.12
-0.19,0.0,0.03,0.23,1.18
-0.19,0.0,0.03,0.23,1.23
-0.2,0.0,0.03,0.23,1.29
-0.2,0.0,0.03,0.23,1.3
-0.2,0.0,0.03,0.23,1.4
-0.2,0.0,0.03,0.23,1.41
-0.21,0.0,0.03,0.23,1.42
-0.21,0.0,0.03,0.23,1.48
-0.21,0.0,0.04,0.23,1.49
-0.21,0.0,0.04,0.23,1.5
-0.22,0.0,0.04,0.24,1.56
-0.22,0.0,0.04,0.24,1.47
-0.22,0.0,0.04,0.24,1.48
-0.22,0.0,0.04,0.24,1.48
-0.23,0.0,0.04,0.24,1.4
-0.23,0.0,0.04,0.24,1.4
-0.23,0.0,0.04,0.24,1.41
-0.23,0.0,0.05,0.24,1.42
-0.24,0.0,0.05,0.24,1.43
-0.24,0.0,0.05,0.24,1.44
-0.25,0.0,0.05,0.24,1.4
-0.25,0.0,0.05,0.24,1.41
-0.26,0.0,0.05,0.24,1.43
-0.27,0.0,0.05,0.24,1.39
-0.27,0.0,0.05,0.24,1.45
-0.28,0.0,0.05,0.24,1.46
-0.28,0.0,0.05,0.24,1.47
-0.29,0.0,0.05,0.24,1.48
-0.3,0.0,0.05,0.25,1.54
-0.31,0.0,0.06,0.25,1.55
-0.31,0.0,0.06,0.25,1.61
-0.32,0.0,0.06,0.25,1.68
-0.33,0.0,0.06,0.25,1.74
-0.34,0.0,0.07,0.25,1.8
-0.35,0.0,0.07,0.25,1.82
-0.36,0.0,0.07,0.25,1.83
-0.37,0.0,0.07,0.25,1.9
-0.38,0.0,0.07,0.25,1.91
-0.39,0.0,0.08,0.26,1.87
-0.4,0.01,0.08,0.26,1.92
-0.41,0.01,0.09,0.27,1.88
-0.42,0.02,0.09,0.28,1.88
-0.43,0.02,0.1,0.28,1.88
-0.44,0.03,0.1,0.29,1.94
-0.46,0.04,0.11,0.29,1.99
-0.47,0.04,0.11,0.3,1.99
-0.48,0.05,0.12,0.31,2.0
-0.49,0.05,0.12,0.31,2.1
-0.5,0.07,0.13,0.32,2.19
-0.52,0.09,0.13,0.33,2.24
-0.54,0.1,0.14,0.33,2.33
-0.55,0.12,0.14,0.34,2.43
-0.57,0.14,0.15,0.34,2.53
-0.58,0.15,0.15,0.35,2.62
-0.6,0.17,0.16,0.36,2.72
-0.62,0.19,0.17,0.36,2.87
-0.63,0.2,0.17,0.37,3.02
-0.65,0.22,0.18,0.38,3.12
-0.66,0.24,0.18,0.38,3.21
-0.66,0.26,0.19,0.39,3.31
-0.67,0.27,0.2,0.39,3.41
-0.68,0.29,0.2,0.4,3.28
-0.69,0.31,0.21,0.41,3.43
-0.7,0.32,0.22,0.41,3.36
-0.7,0.34,0.22,0.42,3.61
-0.71,0.36,0.23,0.42,3.8
-0.72,0.37,0.24,0.43,3.82
-0.73,0.39,0.24,0.44,3.84
