exp0,expC,expT,expP
4.00124,4.25226,4.24511,4.65885
0.413338,0.46282,0.373934,0.424423
1.52307,1.63928,1.39847,1.5796
63.1635,75.5822,48.1222,65.8098
0.0,0.0,0.0,0.0
1.46989,1.50053,1.40279,1.48217
0.692097,0.71779,0.656489,0.698813
0.0994808,0.106609,0.0854253,0.10153
5.08291,5.29256,5.03394,5.14756
2.21427,2.54522,1.99385,2.37074
4.69786,5.27597,3.73709,4.93737
2.7399,3.0122,2.56352,2.91399
4.43756,4.59743,4.28835,4.60993
1.10405,1.22643,0.968604,1.15099
1.122,1.17837,1.04488,1.14271
0.176484,0.179178,0.171881,0.17768
6.1072,7.29427,5.34885,6.80002
3.15819,3.54874,2.89015,3.31389
8.797e-05,9.04519e-05,8.16126e-05,9.35207e-05
6.97013,7.04904,6.91048,7.1592
36.4379,36.0925,35.6901,38.4157
6.7413,6.14702,6.75556,7.68622
0.169627,0.180042,0.159109,0.177621
2.54651,2.58874,2.50708,2.63441
171.976,177.576,160.809,171.956
24.7048,29.9779,20.9223,26.2637
1.37893,2.92042,1.05355,1.6313
0.00460816,0.0049102,0.00199599,0.00412384
5.23481,7.41428,4.50011,5.67021
5.02608,7.35298,4.05032,5.86682
32.2468,36.8724,28.1808,34.0037
3.28842,3.60278,2.63334,3.27427
3.3212,3.76282,2.97246,3.52459
0.572208,0.693433,0.512474,0.631942
0.613714,1.0725,0.41535,0.70127
1.95405,2.01189,1.81843,2.01398
0.0391363,0.222334,0.0251737,0.0517275
4.88255,6.09885,3.85358,5.34749
0.362398,0.475563,0.306829,0.388202
0.239796,0.242402,0.232893,0.240968
0.388622,0.398615,0.371742,0.393913
0.0861508,0.0883705,0.0819555,0.0886118
0.10901,0.111115,0.101118,0.109921
0.212645,0.225592,0.195119,0.220559
0.556936,0.588305,0.56486,0.571139
0.101752,0.120287,0.0839361,0.104224
0.188639,0.215934,0.0756188,0.201146
0.0,0.00837521,0.0,0.00849736
0.0269589,0.0399041,0.0,0.0298513
0.411252,0.432205,0.266234,0.422886
0.194945,0.236971,0.0856925,0.207334
4.29827,4.46588,3.83863,4.3321
0.430443,0.765192,0.327755,0.451965
0.53596,0.692397,0.15491,0.565842
0.540112,0.563026,0.62436,0.537845
0.00239709,0.0790439,0.0,0.00557145
0.0,0.0894264,0.0,0.0
0.532567,0.621184,0.399518,0.569198
0.0664374,0.154547,0.0231055,0.071924
0.028812,0.085628,0.0,0.035083
0.00488362,0.00592594,0.0,0.00525371
0.0,0.0,0.0,0.0
0.359419,0.417229,0.128207,0.378032
0.0534128,0.10371,0.0,0.0644068
0.09336,0.110039,0.0732901,0.100897
0.0187772,0.0362232,0.0,0.0322155
0.00197254,0.00218688,0.0,0.00206611
1.38301,1.5972,1.34701,1.46921
2.88122,3.25594,2.08342,2.96666
0.434825,0.713442,0.430491,0.559114
0.204973,0.206799,0.199974,0.206226
3.91397,3.96655,3.51961,3.93627
0.22218,0.242693,0.165354,0.230567
0.087208,0.0989871,0.0800458,0.0902881
0.0,0.0,0.0,0.0
0.0,0.117971,0.0,0.0385887
0.116177,0.140737,0.109793,0.11701
0.0,0.0381595,0.0,0.0
168.849,175.197,157.458,169.15
0.597674,0.669292,0.594281,0.60083
0.0,0.0172587,0.0,0.0
0.131248,0.14497,0.122977,0.133839
0.698508,0.81762,0.522979,0.702695
1.71956,1.73566,0.654855,1.62618
1.40893,1.50052,0.971805,1.36099
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.037248,0.0453221,0.028633,0.039288
6.08942,5.82534,6.34331,5.96194
0.333992,0.374351,0.248399,0.372877
13.2313,13.4758,12.5531,12.5542
0.00437047,0.00437047,0.00437047,0.00437047
4.44329,5.1707,4.42075,4.24983
1.10565,0.910922,1.07108,1.12578
5.68821,6.01829,5.87182,6.14134
2.58802,2.98948,2.43809,2.80875
0.843224,0.928777,0.84348,0.875568
9.19784,10.1453,9.08331,9.98575
2.87798,3.96457,2.51673,3.24718
3.11872,4.36444,2.68818,3.42523
8.26119,8.78383,8.23311,8.63414
0.274073,0.465896,0.389257,0.411857
0.216541,0.218429,0.212694,0.322793
0.0,0.0,0.0,0.0
0.266327,0.272626,0.263464,0.378184
0.677382,0.638272,0.5265,0.757396
0.662436,0.692435,0.666088,0.661957
2.20378,2.37661,2.27645,2.39523
0.541788,0.56253,0.546024,0.582089
9.88388,13.0235,9.46266,10.5895
0.0746175,0.078301,0.0694344,0.0800165
0.0424569,0.0,0.0525576,0.038781
0.0258741,0.0347724,0.0305631,0.0277462
0.0,0.0,0.0,0.0
